"Invoice_day","Invoice_Value","Invoice_POS","Country","Country_ID","City","LAT","LNG","Invoice_Type","Invoice_Type_ID","Limit_number","Fraud"
2016-10-22,22.69,"AVTORIZACIJA  INTERSPAR CITYPARK LJ. LJUBLJANA","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-22,37.99,"AVTORIZACIJA  BIG BANG BTC HALA 11 LJUBLJANA","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-21,3,"AVTORIZACIJA  MARENDA DULCIS LJUBLJANA","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-21,4.62,"AVTORIZACIJA  MARENDA DULCIS LJUBLJANA","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-20,4.73,"NAKUP MARENDA DULCIS 4,73 EUR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-20,5.36,"SAMOPOSTREZBA BS 3","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-19,4.56,"NAKUP MARENDA DULCIS 4,56 EUR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-18,4.23,"SAMOPOSTREZBA BS 3","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-18,4.27,"NAKUP MARENDA DULCIS 4,27 EUR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-18,0.38,"PROVIZIJA","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-18,81.6,"PLAÈILO PIVO BEVOG A.RAJH","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-18,0.24,"NADOMESTILO ZA PLAÈILO TN-DB","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-18,28.06,"10213122209","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-18,201.88,"VISA","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-17,4.87,"NAKUP MARENDA DULCIS 4,87 EUR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-17,0.38,"PROVIZIJA","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-17,52.59,"PLAÈILO STANOVANJSKIH STR. 10/2016","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-17,0.38,"PROVIZIJA","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-17,14.06,"REZERVNI SKLAD 10/2016","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-15,23.34,"HIPERMARKET SMARTINSKA","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-15,2.2,"HIPERMARKET SMARTINSKA","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-15,3.09,"SPAR SLOVENCEVA","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-15,2.8,"FAVOLA","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-15,20,"BANKOMAT DVIG LJUBLJANA","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,1,0
2016-10-14,4.45,"NAKUP MARENDA DULCIS 4,45 EUR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-14,4.94,"NAKUP MARENDA DULCIS 4,94 EUR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-14,4.9,"MISINI IN DRUZBENIK PI","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-13,3.5,"NAKUP MARENDA DULCIS 3,50 EUR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-13,1.75,"NAKUP MARENDA DULCIS 1,75 EUR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-12,23.96,"MOL - NAFTNA DRUZBA, D","Austria",10,"Salzburg","47.809490","13.055010","Maestro",1,0,0
2016-10-12,46.26,"NAKUP IKEA SALZBURG 46,26 EUR","Austria",10,"Salzburg","47.809490","13.055010","Maestro",1,0,0
2016-10-12,6.3,"NAKUP McDonalds 219 6,30 EUR","Austria",10,"Salzburg","47.809490","13.055010","Maestro",1,0,0
2016-10-12,10.39,"LIDL 221 PE LJ BTC","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-11,7.66,"NAKUP MERKUR 5150 7,66 EUR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-11,7.1,"NAKUP McDonalds 22 7,10 EUR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-11,5.44,"BS HRUSICA II-S","Slovenija",1,"Jesenice","46.436705","14.052606","Maestro",1,0,0
2016-10-11,0.38,"PROVIZIJA","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-11,33.86,"DAVEK OD PREMOŽENJA 2016 2.OBROK","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-11,0.38,"PROVIZIJA","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-11,27.49,"PLAÈILO T-2 OKT2016 16-390-1004738","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-11,0.38,"PROVIZIJA","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-11,4.61,"PLAÈILO STORITEV 09/2016","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-11,0.38,"PROVIZIJA","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-11,36,"PLAÈILO PARKIRNINE 10/2016","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-11,0.38,"PROVIZIJA","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-11,12.75,"RTV PRISPEVEK OKTOBER 2016","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-11,0.38,"PROVIZIJA","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-11,23.06,"PLAÈILO RAÈUN 10/2016","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-10,5.2,"ALPE PANON PE LJ SMART","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-10,22.87,"INTERSPAR CITYPARK LJU","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-10,2.7,"NAKUP MARENDA DULCIS 2,70 EUR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-10,20,"RUBI VARÈEVANJE 10/2016","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,1,0
2016-10-10,403.6,"STROSKI RUBI 10/2016","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-08,20,"BANKOMAT DVIG LJUBLJANA","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,1,0
2016-10-07,2.95,"NAKUP MARENDA DULCIS 2,95 EUR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-07,4.91,"NAKUP MARENDA DULCIS 4,91 EUR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-07,22.58,"SPAR ZELENI DVOR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-06,4.71,"NAKUP MARENDA DULCIS 4,71 EUR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-06,3.42,"SAMOPOSTREZBA BS 3","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-06,64.4,"SIR WILLIAMS","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-06,3.85,"NAKUP MARENDA DULCIS 3,85 EUR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-05,6.52,"NAKUP MERKUR 5150 6,52 EUR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-05,15.98,"NAKUP H&M Europark 113 15,98 EUR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-05,8.13,"NAKUP OMV 3549/ 8,13 EUR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-05,1.45,"SAMOPOSTREZBA BS 3","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-04,3.9,"NAKUP MARENDA DULCIS 3,90 EUR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-04,4.34,"NAKUP MARENDA DULCIS 4,34 EUR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-04,7.1,"NAKUP MARENDA DULCIS 7,10 EUR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-04,2.39,"SAMOPOSTREZBA BS 3","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-04,10,"BANKOMAT DVIG LJUBLJANA","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,1,0
2016-10-03,20,"BANKOMAT DVIG LJUBLJANA","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,1,0
2016-10-02,2.49,"SUPERMARKET BS 3","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-01,37.98,"OKAIDI","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-01,8.47,"SAMOPOSTREZBA BS 3","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-01,69.43,"INTERSPAR CITYPARK LJU","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-01,49.9,"NAKUP Trgovina CHAMPION CITY 49,90 EUR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-10-01,0.75,"UPORABNINA NLB KLIK SEP. 2016","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-09-30,4.71,"NAKUP MARENDA DULCIS 4,71 EUR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-09-30,2.4,"NAKUP MARENDA DULCIS 2,40 EUR","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
2016-09-30,2.3,"STR VODENJA RAÈ","Slovenija",1,"Ljubljana","46.056947","14.505751","Maestro",1,0,0
